iter	Passed	Remaining
623	12253	7383
624	12273	7363
625	12289	7342
626	12309	7323
627	12325	7301
628	12344	7281
629	12364	7261
630	12383	7241
631	12405	7223
632	12424	7203
633	12443	7183
634	12460	7162
635	12479	7142
636	12499	7122
637	12519	7103
638	12538	7083
639	12559	7064
640	12580	7046
641	12599	7026
642	12615	7003
643	12634	6984
644	12653	6964
645	12674	6945
646	12693	6925
647	12711	6904
648	12731	6885
649	12752	6866
650	12772	6847
651	12790	6826
652	12806	6805
653	12824	6784
654	12843	6764
655	12863	6745
656	12884	6726
657	12902	6706
658	12922	6686
659	12940	6666
660	12961	6647
661	12979	6626
662	13000	6607
663	13019	6588
664	13039	6568
665	13057	6548
666	13075	6528
667	13090	6506
668	13108	6485
669	13128	6466
670	13150	6447
671	13168	6427
672	13188	6408
673	13207	6387
674	13228	6369
675	13247	6349
676	13267	6329
677	13288	6311
678	13306	6290
679	13326	6271
680	13346	6251
681	13364	6231
682	13381	6210
683	13402	6191
684	13423	6172
685	13441	6152
686	13461	6132
687	13479	6112
688	13499	6093
689	13516	6072
690	13534	6052
691	13554	6033
692	13576	6014
693	13595	5994
694	13616	5975
695	13636	5956
696	13656	5936
697	13677	5917
698	13695	5897
699	13714	5877
700	13733	5857
701	13753	5838
702	13771	5818
703	13789	5797
704	13807	5777
705	13828	5758
706	13847	5738
707	13866	5718
708	13883	5698
709	13902	5678
710	13922	5659
711	13944	5640
712	13963	5620
713	13981	5600
714	13997	5579
715	14015	5559
716	14035	5539
717	14055	5520
718	14077	5501
719	14097	5482
720	14117	5462
721	14134	5442
722	14156	5423
723	14175	5404
724	14196	5384
725	14216	5365
726	14235	5345
727	14253	5325
728	14274	5306
729	14293	5286
730	14314	5267
731	14335	5248
732	14354	5228
733	14377	5210
734	14398	5191
735	14418	5171
736	14436	5151
737	14457	5132
738	14475	5112
739	14496	5093
740	14517	5074
741	14546	5058
742	14564	5037
743	14586	5019
744	14606	4999
745	14625	4979
746	14645	4960
747	14665	4940
748	14687	4922
749	14706	4902
750	14728	4883
751	14745	4862
752	14764	4843
753	14785	4823
754	14810	4806
755	14828	4785
756	14846	4765
757	14864	4745
758	14884	4726
759	14904	4706
760	14924	4687
761	14946	4668
762	14973	4651
763	14998	4633
764	15019	4613
765	15038	4593
766	15059	4574
767	15080	4555
768	15102	4536
769	15122	4517
770	15140	4496
771	15162	4478
772	15180	4457
773	15199	4437
774	15218	4418
775	15234	4397
776	15254	4377
777	15275	4358
778	15296	4339
779	15314	4319
780	15334	4300
781	15355	4280
782	15374	4260
783	15393	4240
784	15410	4220
785	15429	4200
786	15449	4181
787	15467	4161
788	15486	4141
789	15504	4121
790	15521	4101
791	15538	4080
792	15558	4061
793	15578	4041
794	15598	4022
795	15617	4002
796	15635	3982
797	15652	3962
798	15674	3943
799	15693	3923
800	15710	3903
801	15730	3883
802	15748	3863
803	15770	3844
804	15790	3824
805	15809	3805
806	15831	3786
807	15849	3766
808	15870	3746
809	15885	3726
810	15905	3706
811	15923	3686
812	15942	3667
813	15963	3647
814	15983	3628
815	16002	3608
816	16022	3588
817	16042	3569
818	16062	3549
819	16081	3530
820	16099	3510
821	16119	3490
822	16139	3470
823	16159	3451
824	16177	3431
825	16195	3411
826	16216	3392
827	16235	3372
828	16252	3352
829	16270	3332
830	16289	3312
831	16308	3293
832	16325	3272
833	16346	3253
834	16366	3234
835	16385	3214
836	16404	3194
837	16423	3174
838	16443	3155
839	16463	3135
840	16482	3116
841	16504	3097
842	16523	3077
843	16544	3058
844	16562	3038
845	16580	3018
846	16598	2998
847	16619	2979
848	16640	2959
849	16659	2939
850	16680	2920
851	16698	2900
852	16717	2881
853	16738	2861
854	16758	2842
855	16779	2822
856	16798	2802
857	16819	2783
858	16841	2764
859	16862	2745
860	16881	2725
861	16898	2705
862	16919	2685
863	16938	2666
864	16957	2646
865	16977	2626
866	16997	2607
867	17017	2587
868	17036	2568
869	17053	2548
870	17073	2528
871	17092	2508
872	17110	2489
873	17128	2469
874	17146	2449
875	17164	2429
876	17183	2409
877	17201	2390
878	17220	2370
879	17238	2350
880	17261	2331
881	17280	2311
882	17301	2292
883	17320	2272
884	17338	2253
885	17359	2233
886	17379	2214
887	17397	2194
888	17418	2174
889	17438	2155
890	17456	2135
891	17475	2115
892	17494	2096
893	17514	2076
894	17533	2056
895	17553	2037
896	17573	2017
897	17591	1998
898	17610	1978
899	17628	1958
900	17646	1938
901	17667	1919
902	17687	1900
903	17706	1880
904	17724	1860
905	17744	1840
906	17762	1821
907	17782	1801
908	17803	1782
909	17822	1762
910	17843	1743
911	17864	1723
912	17883	1704
913	17901	1684
914	17922	1664
915	17940	1645
916	17960	1625
917	17981	1606
918	17999	1586
919	18019	1566
920	18038	1547
921	18057	1527
922	18076	1507
923	18096	1488
924	18114	1468
925	18132	1449
926	18153	1429
927	18176	1410
928	18194	1390
929	18213	1370
930	18232	1351
931	18250	1331
932	18272	1312
933	18290	1292
934	18312	1273
935	18330	1253
936	18351	1233
937	18371	1214
938	18390	1194
939	18409	1175
940	18429	1155
941	18450	1136
942	18470	1116
943	18488	1096
944	18507	1077
945	18524	1057
946	18542	1037
947	18563	1018
948	18582	998
949	18601	979
950	18620	959
951	18642	939
952	18661	920
953	18684	900
954	18704	881
955	18722	861
956	18742	842
957	18762	822
958	18782	803
959	18804	783
960	18823	763
961	18841	744
962	18859	724
963	18880	705
964	18897	685
965	18918	665
966	18935	646
967	18955	626
968	18975	607
969	18996	587
970	19016	567
971	19034	548
972	19053	528
973	19072	509
974	19090	489
975	19108	469
976	19126	450
977	19145	430
978	19166	411
979	19188	391
980	19208	372
981	19229	352
982	19248	332
983	19267	313
984	19284	293
985	19303	274
986	19322	254
987	19343	234
988	19362	215
989	19381	195
990	19404	176
991	19424	156
992	19444	137
993	19463	117
994	19481	97
995	19499	78
996	19516	58
997	19536	39
998	19555	19
999	19573	0
